ガボン・ムカラバ国立公園のマンドリル,zhe078,個体群
シママングースの集団,zhe079,個体群
Aletris stellifloraの花,bps004-bps005-bps006,個体群
Aletris paucifloraの花,bps008-bps009,個体群
マオウ属の一種,bps012-bps013-bps014-bps015-bps016-bps017-bps018-bps019,個体群
Meconpsis racemosaの花,bps029,個体群
Tofieldia divergensの花,bps030-bps031,個体群
Saussurea medusa,bps060-bps061-bps062,個体群
Aletris paucifloraの花,bps087-bps088,個体群
Lloydia oxycarpaの花,bps104-bps105,個体群
ヤマブキソウの花,bps120,個体群
タニギキョウの花,bps126,個体群
サツマイナモリの花,bps127,個体群
チゴユリの花,bps146,個体群
バイケイソウ,bps174-bps175,個体群
ヒカゲノカズラの胞子嚢穂,bps176,個体群
マンネンスギの胞子嚢穂,bps177,個体群
オキナワチドリの花,bps181-bps182-bps183,個体群
ショウジョウバカマの花,bps197-bps198-bps199-bps200,個体群
ハクサンイチゲの花,bps201-bps202,個体群
ショウジョウバカマの花,bps208,個体群
シナノキンバイの花,bps209,個体群
ヒメイワショウブの蕾,bps210-bps211,個体群
ミヤマアキノキリンソウの花,bps212,個体群
タカネヨモギの花,bps213,個体群
イワウメの花,bps227,個体群
ウルップソウの花,bps242-bps245-bps246,個体群
コマクサ,bps247-bps248,個体群
アイナエの花,bps295-bps296-bps297-bps298,個体群
チングルマの果実,bps318,個体群
イワイチョウの花,bps319-bps320,個体群
ライチョウ,bps322,個体群
ライチョウ,bps323-bps324,個体群
ヒジキ,bps326,個体群
ヒトエグサ,bps327,個体群
ボタンアオサ,bps328,個体群
ウミトラノオ,bps329,個体群
フクロノリ,bps330,個体群
ガラガラ,bps333,個体群
ボウアオノリ,bps334-bps335,個体群
アオモグサ,bps336,個体群
ピリヒバ,bps337,個体群
ヨレモクモドキ,bps338,個体群
アミジグサ,bps339,個体群
サビモドキ,bps340,個体群
ウミウチワ,bps341,個体群
スリコギヅタ,bps342,個体群
アオモグサ,bps344,個体群
ムカデノリ,bps345,個体群
シロアリの結婚飛行（1）,bps363,個体群
シロアリの結婚飛行（2）,bps364,個体群
チーク,bps368-bps369-bps370-bps371-bps372,個体群
セツブンソウの花,bps384-bps385,個体群
フタリシズカの花,bps402,個体群
ヤマトユキザサの花,bps411-bps412,個体群
Lys63結合型のジユビキチン（緑）とRap80のUIM領域（ピンク）の複合体,psp001,分子
IL-18（青色リボン）とIL-18受容体αおよびβ（緑、橙）からなる三者複合体,psp002,分子
IL-18（分子表面図）とIL-18受容体αおよびβ（緑、橙）からなる三者複合体,psp003,分子
シナプス後部周辺におけるグルタミン酸受容体のエキソサイトーシス,pns001,分子
シナプス後部周辺におけるグルタミン酸受容体のエンドサイトーシス,pns002,分子
ヌクレオソームの回転共役スライディング,ptb001,分子
ヌクレオソームの回転非共役スライディング,ptb002,分子
ダイニンのパワーストローク運動,ptb003,分子
バクテリアのDNA複製開始複合体のモデリングシミュレーション,ptb004,分子
視細胞の光情報変換,pmp501,分子
AP4MサブユニットはTGNマーカーSYP43と共局在する,bpc001,細胞小器官
AP4Mサブユニットはtrans-GolgiマーカーSTと一部共局在する,bpc002,細胞小器官
AP4Mサブユニットは液胞前区画マーカーARA7と共局在しない,bpc003,細胞小器官
AP4MサブユニットはAP1M2と部分的に共局在する,bpc004,細胞小器官
AP2Mサブユニットは細胞膜に局在する,bpc005,細胞小器官
AP1M2サブユニットはTGNマーカーVHAa1と共局在する,bpc006,細胞小器官
AP1M2サブユニットはTGNマーカーSYP43と共局在する,bpc007,細胞小器官
AP1M2サブユニットは液胞前区画マーカーARA7と共局在しない,bpc008,細胞小器官
AP1M2サブユニットは液胞前区画マーカーSNX1と共局在しない,bpc009,細胞小器官
AP1M2サブユニットはGolgiマーカーSYP32と共局在しない,bpc010,細胞小器官
メラノサイトから表皮細胞へのメラニン顆粒輸送,zdb001,細胞
ヒッパリオンの下顎化石,zpa004-zpa005-zpa008-zpa011-zpa016-zpa024,組織
マイオトラゴケロスの頭蓋化石,zpa009-zpa019-zpa022,組織
ヒッパリオンの下顎とメタポディアル,zpa012,組織
コエロロフォドンの橈尺骨、頭蓋？,zpa013-zpa018,組織
哺乳類の肋骨化石,zpa014,組織
肋骨の取り上げ風景,zpa015,組織
ヒッパリオンの下顎印象,zpa020,組織
哺乳類の体肢骨、椎骨,zpa021,組織
哺乳類の体肢骨、椎骨,zpa023,組織
プロストレプシケロスの頭蓋骨,zpa025,組織
哺乳類の体肢骨,zpa026,組織
コエロロフォドンの体肢骨、椎骨,zpa027,組織
哺乳類の四肢骨,zpa028,組織
プロストレプシケロスの頭蓋骨,zpa029,組織
寛骨の取り上げ風景？,zpa030,組織
反芻類のメタポディアル,zpa031,組織
哺乳類の四肢骨,zpa032,組織
ヒッパリオンの下顎骨と体肢骨？,zpa033,組織
中型哺乳類の頭蓋骨、四肢骨,zpa034,組織
ヒッパリオンの頭蓋化石,zpa035-zpa038,組織
コエロロフォドンの臼歯,zpa036,組織
哺乳類の四肢骨,zpa037,組織
哺乳類の化石印象,zpa039,組織
チャコウラナメクジの脳,zsr010,器官
Rhododendron sanguineumの花,bps010-bps011,器官
Geranium delavayiの花,bps020,器官
Halenia ellipticaの花,bps022,器官
Thalictrum cultratumの花,bps023,器官
Notholirion bulbuliferumの花,bps035-bps036,器官
Musella lasiocarpaの花,bps037-bps038-bps039,器官
シュウメイギクの花,bps046-bps047,器官
ムカゴトラノオの花,bps048,器官
Balanophora involucratの花,bps049-bps050,器官
Carex continuaの花,bps051-bps052,器官
Iris ruthenica var. nanaの花,bps053,器官
Rhododendron setosumの花,bps057-bps058,器官
Saussurea medusaの花,bps065,器官
Chlorophytum chinenseの花,bps079-bps080,器官
Aletris paucifloraの花,bps081-bps082-bps083-bps084-bps085,器官
Tofieldia divergensの花,bps086,器官
Roscoea cautleoidesの花,bps089-bps090,器官
Ophiopogon bodinieriの花,bps091,器官
Roscoea cautleoidesの花,bps095,器官
Aletris paucifloraの花,bps099-bps100-bps101,器官
Quercus semicarpifoliaの葉,bps102-bps103,器官
バイモの花,bps108-bps110,器官
ウバユリ,bps109-bps111,器官
ユキワリイチゲの花,bps112,器官
アオキの花,bps113,器官
ヤマブキの花,bps114,器官
シキミの花,bps115,器官
スズランの花,bps116,器官
ドクダミの花,bps119,器官
ミツマタの花,bps121,器官
フタバアオイの花,bps122,器官
ニリンソウの花,bps123,器官
キンポウゲの花,bps125,器官
セリバオウレンの果実,bps137,器官
ショウジョウバカマの花,bps138-bps139,器官
ホウチャクソウの花,bps141-bps142-bps143-bps144,器官
ワサビの花,bps147,器官
オオムラサキツユクサの花,bps151-bps152,器官
ネジバナの花,bps153-bps155-bps156,器官
ノギランの花,bps154,器官
オオムラサキツユクサの花,bps157,器官
アジサイの花,bps158-bps159,器官
ヤブミョウガの花,bps160,器官
シロツメクサの花,bps163,器官
グラジオラスの花,bps164,器官
ソテツ,bps165-bps166,器官
ウバユリの花,bps167-bps168-bps169,器官
イチョウの種子,bps170,器官
フサザクラの果実,bps171-bps172,器官
エゴノキの花,bps173,器官
マンネンスギの胞子嚢穂,bps179-bps180,器官
ヒメハギの花,bps186-bps187-bps188-bps189,器官
シラタマカズラの果実,bps193,器官
フウトウカズラの花,bps194,器官
ミヤマキンポウゲの花,bps203,器官
クロトウヒレンの花,bps214,器官
チシマアマナの果実,bps216-bps217-bps218,器官
カツラ,bps219-bps221-bps222-bps223,器官
オガラバナの花,bps225,器官
コマクサの花,bps232-bps233-bps234,器官
キバナシャクナゲの花,bps235,器官
ウルップソウの花,bps237,器官
ミヤマハンノキの花,bps238,器官
タケシマランの花,bps249-bps250,器官
スズメウリの花,bps258-bps259-bps260-bps261,器官
ユキヤナギの花,bps262,器官
レンギョウの花,bps263-bps264,器官
スノーフレークの花,bps265,器官
ヒアシンスの花,bps266-bps267-bps268,器官
タイサンボクの果実,bps269-bps270,器官
アカメガシワの葉,bps271,器官
アカメガシワの葉,bps272,器官
ホタルブクロの花,bps273-bps274,器官
オオイヌノフグリの花,bps275,器官
キランソウの花,bps278,器官
アケボノソウの花,bps289-bps290-bps291-bps292-bps293-bps294,器官
センリョウの花,bps299-bps300-bps301-bps302-bps303,器官
サンショウの果実,bps304,器官
アジサイの花,bps305-bps306-bps307,器官
イワショウブの果実,bps312-bps313-bps314,器官
キンコウカの果実,bps315-bps316-bps325,器官
アカモノの果実,bps317,器官
チングルマの果実,bps321,器官
ハマダイコンの花,bps346,器官
フウトウカズラの花,bps347-bps348,器官
ハマヒルガオの花,bps349-bps350-bps351,器官
アメリカネナシカズラの花,bps352-bps353-bps354-bps355,器官
フウトウカズラの花,bps356-bps357,器官
Curculigo capitulataの花,bps358-bps359-bps360,器官
嗜好品として売られるキンマの葉,bps365,器官
Iphigenia indicaの花,bps366,器官
コキンバイザサの花,bps367,器官
パラミツ,bps374-bps375,器官
市場で売られていた蒟蒻,bps377,器官
ユウゲショウの花,bps378,器官
ブクリョウサイの花,bps379,器官
コシノコバイモの花,bps390-bps391,器官
ポポーの花,bps392-bps393,器官
ホオノキの花,bps394-bps395,器官
クリの花,bps396-bps397-bps398,器官
